ID	Customer Age (in months)	"Churn (1 = Yes, 0 = No)"	CHI Score Month 0	CHI Score 0-1	Support Cases Month 0	Support Cases 0-1	SP Month 0	SP 0-1	Logins 0-1	Blog Articles 0-1	Views 0-1	 Days Since Last Login 0-1
 992 	 14.0 	 -   	 186.0 	 6.0 	 -   	 (1.0)	 -   	 (3.0)	 12.0 	 (3.0)	 (80.0)	 -   
 993 	 14.0 	 -   	 99.0 	 (48.0)	 -   	 -   	 -   	 -   	 (6.0)	 (2.0)	 (13.0)	 3.0 
 994 	 14.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2.0 	 -   	 -   	 31.0 
 995 	 14.0 	 -   	 130.0 	 (20.0)	 4.0 	 4.0 	 3.0 	 3.0 	 (1.0)	 -   	 39.0 	 -   
 996 	 16.0 	 -   	 47.0 	 15.0 	 -   	 -   	 -   	 -   	 1.0 	 -   	 (3.0)	 (31.0)
 997 	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
 998 	 14.0 	 -   	 166.0 	 18.0 	 -   	 -   	 -   	 -   	 13.0 	 (2.0)	 342.0 	 2.0 
 999 	 14.0 	 -   	 202.0 	 4.0 	 2.0 	 2.0 	 3.0 	 3.0 	 (14.0)	 -   	 (440.0)	 3.0 
" 1,000 "	 14.0 	 -   	 201.0 	 (3.0)	 1.0 	 (1.0)	 3.0 	 -   	 76.0 	 (3.0)	" 7,764.0 "	 -   
" 1,001 "	 14.0 	 -   	 130.0 	 26.0 	 -   	 -   	 -   	 -   	 14.0 	 -   	 (4.0)	 -   
" 1,002 "	 12.0 	 -   	 168.0 	 25.0 	 -   	 (1.0)	 -   	 (3.0)	 51.0 	 -   	 (125.0)	 -   
" 1,003 "	 13.0 	 1.0 	 130.0 	 (14.0)	 -   	 -   	 -   	 -   	 (6.0)	 (2.0)	 (66.0)	 3.0 
" 1,004 "	 12.0 	 -   	 84.0 	 (36.0)	 -   	 (1.0)	 -   	 (3.0)	 (6.0)	 (4.0)	 10.0 	 -   
" 1,005 "	 14.0 	 -   	 98.0 	 19.0 	 -   	 -   	 -   	 -   	 18.0 	 -   	 (126.0)	 -   
" 1,006 "	 14.0 	 1.0 	 37.0 	 (15.0)	 -   	 -   	 -   	 -   	 6.0 	 -   	 (16.0)	 (88.0)
" 1,007 "	 13.0 	 -   	 109.0 	 (6.0)	 -   	 (1.0)	 -   	 (3.0)	 20.0 	 (1.0)	 -   	 4.0 
" 1,008 "	 14.0 	 -   	 173.0 	 6.0 	 -   	 (1.0)	 -   	 (3.0)	 76.0 	 -   	 (255.0)	 -   
" 1,009 "	 13.0 	 -   	 82.0 	 11.0 	 -   	 -   	 -   	 -   	 83.0 	 -   	 34.0 	 (4.0)
" 1,010 "	 14.0 	 -   	 -   	 (23.0)	 -   	 -   	 -   	 -   	 (2.0)	 -   	 993.0 	 (83.0)
" 1,011 "	 14.0 	 -   	 143.0 	 (1.0)	 -   	 -   	 -   	 -   	 (5.0)	 1.0 	 (25.0)	 (1.0)
" 1,012 "	 12.0 	 -   	 62.0 	 (4.0)	 -   	 -   	 -   	 -   	 24.0 	 -   	 -   	 (4.0)
" 1,013 "	 14.0 	 -   	 136.0 	 19.0 	 -   	 -   	 -   	 -   	 7.0 	 (2.0)	 220.0 	 17.0 
" 1,014 "	 14.0 	 -   	 200.0 	 3.0 	 2.0 	 2.0 	 3.0 	 3.0 	 35.0 	 3.0 	 583.0 	 4.0 
" 1,015 "	 14.0 	 -   	 162.0 	 (7.0)	 -   	 (1.0)	 -   	 (3.0)	 159.0 	 (2.0)	 208.0 	 -   
" 1,016 "	 14.0 	 -   	 61.0 	 8.0 	 -   	 -   	 -   	 -   	 (6.0)	 -   	 109.0 	 3.0 
" 1,017 "	 14.0 	 -   	 191.0 	 (5.0)	 1.0 	 (1.0)	 3.0 	 -   	 58.0 	 (2.0)	 (531.0)	 -   
" 1,018 "	 14.0 	 -   	 104.0 	 (27.0)	 2.0 	 1.0 	 3.0 	 -   	 51.0 	 (1.0)	 30.0 	 (1.0)
" 1,019 "	 13.0 	 -   	 33.0 	 (77.0)	 -   	 (1.0)	 -   	 (3.0)	 3.0 	 (1.0)	 472.0 	 15.0 
" 1,020 "	 7.0 	 -   	 180.0 	 8.0 	 -   	 (1.0)	 -   	 (3.0)	 35.0 	 (2.0)	 404.0 	 -   
" 1,021 "	 13.0 	 1.0 	 12.0 	 (73.0)	 -   	 -   	 -   	 -   	 (4.0)	 (1.0)	 -   	 18.0 
" 1,022 "	 13.0 	 -   	 31.0 	 (44.0)	 -   	 -   	 -   	 -   	 (2.0)	 -   	 (30.0)	 2.0 
" 1,023 "	 4.0 	 -   	 105.0 	 43.0 	 -   	 -   	 -   	 -   	 24.0 	 3.0 	 -   	 -   
" 1,024 "	 12.0 	 -   	 57.0 	 8.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (11.0)	 (2.0)
" 1,025 "	 11.0 	 -   	 165.0 	 -   	 -   	 (2.0)	 -   	 (3.0)	 32.0 	 -   	 596.0 	 (2.0)
" 1,026 "	 13.0 	 -   	 104.0 	 (17.0)	 -   	 (2.0)	 -   	 (2.5)	 24.0 	 (1.0)	 (550.0)	 1.0 
" 1,027 "	 13.0 	 -   	 90.0 	 -   	 -   	 -   	 -   	 -   	 2.0 	 -   	 2.0 	 1.0 
" 1,028 "	 12.0 	 -   	 60.0 	 2.0 	 -   	 -   	 -   	 -   	 10.0 	 -   	 (17.0)	 -   
" 1,029 "	 14.0 	 -   	 123.0 	 9.0 	 5.0 	 3.0 	 3.0 	 -   	 71.0 	 -   	 109.0 	 -   
" 1,030 "	 14.0 	 -   	 48.0 	 (60.0)	 -   	 -   	 -   	 -   	 (4.0)	 (3.0)	 3.0 	 (126.0)
" 1,031 "	 11.0 	 -   	 84.0 	 (1.0)	 -   	 -   	 -   	 -   	 21.0 	 -   	 (248.0)	 -   
" 1,032 "	 13.0 	 -   	 132.0 	 -   	 2.0 	 2.0 	 3.0 	 3.0 	 43.0 	 -   	 (23.0)	 (1.0)
" 1,033 "	 14.0 	 -   	 169.0 	 13.0 	 3.0 	 3.0 	 2.3 	 2.3 	 58.0 	 2.0 	 (221.0)	 (1.0)
" 1,034 "	 14.0 	 -   	 131.0 	 46.0 	 1.0 	 1.0 	 3.0 	 3.0 	 55.0 	 2.0 	 (90.0)	 11.0 
" 1,035 "	 31.0 	 -   	 133.0 	 (3.0)	 3.0 	 3.0 	 3.0 	 3.0 	 42.0 	 -   	 429.0 	 3.0 
" 1,036 "	 33.0 	 -   	 150.0 	 (5.0)	 -   	 -   	 -   	 -   	 1.0 	 (5.0)	 -   	 -   
" 1,037 "	 33.0 	 1.0 	 190.0 	 19.0 	 -   	 (1.0)	 -   	 (2.0)	 5.0 	 (1.0)	" (1,436.0)"	 -   
" 1,038 "	 31.0 	 -   	 162.0 	 (3.0)	 -   	 -   	 -   	 -   	 63.0 	 -   	 (144.0)	 -   
" 1,039 "	 3.0 	 -   	 19.0 	 19.0 	 -   	 -   	 -   	 -   	 26.0 	 -   	 -   	 -   
" 1,040 "	 33.0 	 -   	 88.0 	 8.0 	 2.0 	 2.0 	 3.0 	 3.0 	 21.0 	 (1.0)	 (62.0)	 -   
" 1,041 "	 33.0 	 -   	 115.0 	 (35.0)	 -   	 -   	 -   	 -   	 (16.0)	 -   	 118.0 	 4.0 
" 1,042 "	 33.0 	 -   	 135.0 	 (5.0)	 -   	 -   	 -   	 -   	 -   	 -   	 (41.0)	 -   
" 1,043 "	 19.0 	 1.0 	 159.0 	 16.0 	 -   	 -   	 -   	 -   	 18.0 	 (1.0)	" 1,961.0 "	 -   
" 1,044 "	 33.0 	 -   	 172.0 	 (10.0)	 -   	 (1.0)	 -   	 (3.0)	 (21.0)	 (4.0)	 (249.0)	 -   
" 1,045 "	 33.0 	 -   	 100.0 	 (10.0)	 -   	 -   	 -   	 -   	 (21.0)	 -   	 201.0 	 -   
" 1,046 "	 33.0 	 -   	 155.0 	 5.0 	 1.0 	 1.0 	 3.0 	 3.0 	 60.0 	 -   	" 1,494.0 "	 -   
" 1,047 "	 33.0 	 -   	 25.0 	 25.0 	 -   	 -   	 -   	 -   	 10.0 	 -   	 -   	 31.0 
" 1,048 "	 29.0 	 -   	 139.0 	 (11.0)	 -   	 (1.0)	 -   	 (3.0)	 37.0 	 -   	 134.0 	 -   
" 1,049 "	 29.0 	 -   	 170.0 	 8.0 	 1.0 	 1.0 	 3.0 	 3.0 	 66.0 	 -   	 (543.0)	 (4.0)
" 1,050 "	 3.0 	 -   	 28.0 	 28.0 	 2.0 	 2.0 	 3.0 	 3.0 	 60.0 	 -   	 -   	 -   
" 1,051 "	 41.0 	 -   	 32.0 	 (12.0)	 1.0 	 1.0 	 3.0 	 3.0 	 8.0 	 -   	 -   	 (4.0)
" 1,052 "	 28.0 	 -   	 136.0 	 9.0 	 -   	 (1.0)	 -   	 (3.0)	 1.0 	 (1.0)	 (69.0)	 (4.0)
" 1,053 "	 33.0 	 -   	 33.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 134.0 	 31.0 
" 1,054 "	 33.0 	 -   	 141.0 	 46.0 	 -   	 (3.0)	 -   	 (2.7)	 10.0 	 2.0 	 41.0 	 -   
" 1,055 "	 32.0 	 -   	 23.0 	 -   	 -   	 -   	 -   	 -   	 (11.0)	 -   	 -   	 3.0 
" 1,056 "	 31.0 	 -   	 78.0 	 -   	 -   	 -   	 -   	 -   	 6.0 	 -   	 -   	 (9.0)
" 1,057 "	 31.0 	 -   	 215.0 	 40.0 	 -   	 -   	 -   	 -   	 3.0 	 2.0 	 (493.0)	 -   
" 1,058 "	 33.0 	 -   	 18.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 30.0 
" 1,059 "	 33.0 	 -   	 43.0 	 (41.0)	 1.0 	 (2.0)	 3.0 	 -   	 (2.0)	 (2.0)	 (71.0)	 (4.0)
" 1,060 "	 30.0 	 -   	 71.0 	 10.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 1.0 	 30.0 
" 1,061 "	 33.0 	 -   	 161.0 	 83.0 	 -   	 -   	 -   	 -   	 8.0 	 1.0 	 53.0 	 31.0 
" 1,062 "	 32.0 	 -   	 176.0 	 46.0 	 -   	 -   	 -   	 -   	 4.0 	 1.0 	 (230.0)	 4.0 
" 1,063 "	 33.0 	 -   	 18.0 	 (5.0)	 -   	 -   	 -   	 -   	 (4.0)	 -   	 39.0 	 (67.0)
" 1,064 "	 28.0 	 -   	 145.0 	 16.0 	 -   	 -   	 -   	 -   	 (1.0)	 -   	 (234.0)	 (1.0)
" 1,065 "	 33.0 	 -   	 206.0 	 2.0 	 -   	 -   	 -   	 -   	 110.0 	 (1.0)	 (211.0)	 -   
" 1,066 "	 29.0 	 -   	 162.0 	 (1.0)	 -   	 -   	 -   	 -   	 (8.0)	 (1.0)	 71.0 	 (1.0)
" 1,067 "	 16.0 	 1.0 	 130.0 	 57.0 	 -   	 -   	 -   	 -   	 10.0 	 2.0 	 178.0 	 (11.0)
" 1,068 "	 24.0 	 -   	 179.0 	 (1.0)	 -   	 -   	 -   	 -   	 (19.0)	 -   	 (337.0)	 -   
" 1,069 "	 29.0 	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 1,070 "	 29.0 	 -   	 225.0 	 18.0 	 1.0 	 1.0 	 3.0 	 3.0 	 14.0 	 3.0 	 172.0 	 -   
" 1,071 "	 28.0 	 -   	 5.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 1,072 "	 32.0 	 -   	 139.0 	 42.0 	 2.0 	 2.0 	 3.0 	 3.0 	 52.0 	 1.0 	 62.0 	 3.0 
" 1,073 "	 33.0 	 -   	 132.0 	 (1.0)	 -   	 (3.0)	 -   	 (3.0)	 3.0 	 -   	 (559.0)	 4.0 
" 1,074 "	 33.0 	 -   	 120.0 	 40.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 544.0 	 31.0 
" 1,075 "	 29.0 	 -   	 68.0 	 (11.0)	 -   	 -   	 -   	 -   	 5.0 	 -   	 (27.0)	 18.0 
" 1,076 "	 33.0 	 -   	 105.0 	 (1.0)	 -   	 -   	 -   	 -   	 2.0 	 -   	 454.0 	 (14.0)
" 1,077 "	 33.0 	 -   	 185.0 	 1.0 	 -   	 -   	 -   	 -   	 23.0 	 4.0 	 555.0 	 (2.0)
" 1,078 "	 33.0 	 -   	 128.0 	 46.0 	 -   	 -   	 -   	 -   	 42.0 	 -   	 (615.0)	 13.0 
" 1,079 "	 33.0 	 -   	 89.0 	 (2.0)	 -   	 -   	 -   	 -   	 (3.0)	 -   	 -   	 3.0 
" 1,080 "	 33.0 	 -   	 75.0 	 (20.0)	 -   	 -   	 -   	 -   	 (11.0)	 -   	 (390.0)	 6.0 
" 1,081 "	 32.0 	 -   	 110.0 	 -   	 -   	 -   	 -   	 -   	 31.0 	 -   	 (40.0)	 2.0 
" 1,082 "	 32.0 	 -   	 128.0 	 (57.0)	 -   	 -   	 -   	 -   	 (7.0)	 (3.0)	" 1,247.0 "	 1.0 
" 1,083 "	 33.0 	 -   	 193.0 	 65.0 	 -   	 -   	 -   	 -   	 86.0 	 4.0 	 114.0 	 (1.0)
" 1,084 "	 32.0 	 -   	 69.0 	 (1.0)	 -   	 -   	 -   	 -   	 (3.0)	 -   	 (17.0)	 1.0 
" 1,085 "	 32.0 	 -   	 110.0 	 2.0 	 -   	 -   	 -   	 -   	 12.0 	 -   	 375.0 	 5.0 
" 1,086 "	 32.0 	 -   	 69.0 	 (57.0)	 -   	 -   	 -   	 -   	 9.0 	 (2.0)	" 1,458.0 "	 (2.0)
" 1,087 "	 32.0 	 -   	 115.0 	 (12.0)	 -   	 -   	 -   	 -   	 (27.0)	 1.0 	" (1,157.0)"	 -   
" 1,088 "	 30.0 	 -   	 154.0 	 13.0 	 1.0 	 1.0 	 3.0 	 3.0 	 (2.0)	 3.0 	 30.0 	 -   
" 1,089 "	 20.0 	 -   	 201.0 	 (2.0)	 -   	 (1.0)	 -   	 (3.0)	 76.0 	 -   	 22.0 	 -   
" 1,090 "	 32.0 	 -   	 101.0 	 (72.0)	 -   	 (1.0)	 -   	 (3.0)	 (15.0)	 (1.0)	 (30.0)	 5.0 
" 1,091 "	 32.0 	 -   	 9.0 	 9.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (75.0)	 31.0 
" 1,092 "	 31.0 	 -   	 176.0 	 5.0 	 1.0 	 1.0 	 3.0 	 3.0 	 43.0 	 (2.0)	 (12.0)	 -   
" 1,093 "	 33.0 	 -   	 139.0 	 (7.0)	 -   	 -   	 -   	 -   	 47.0 	 (5.0)	 349.0 	 (1.0)
" 1,094 "	 33.0 	 -   	 169.0 	 36.0 	 4.0 	 3.0 	 3.0 	 -   	 29.0 	 1.0 	 (579.0)	 -   
" 1,095 "	 32.0 	 -   	 135.0 	 (37.0)	 -   	 -   	 -   	 -   	 (7.0)	 (2.0)	 (93.0)	 3.0 
" 1,096 "	 32.0 	 -   	 190.0 	 (37.0)	 5.0 	 1.0 	 3.0 	 -   	 34.0 	 (2.0)	" 9,565.0 "	 -   
" 1,097 "	 32.0 	 -   	 93.0 	 -   	 -   	 -   	 -   	 -   	 6.0 	 -   	 (6.0)	 1.0 
" 1,098 "	 31.0 	 -   	 181.0 	 (1.0)	 -   	 -   	 -   	 -   	 -   	 (2.0)	 275.0 	 -   
" 1,099 "	 32.0 	 -   	 131.0 	 (1.0)	 -   	 -   	 -   	 -   	 122.0 	 -   	 56.0 	 -   
" 1,100 "	 32.0 	 -   	 69.0 	 (1.0)	 -   	 -   	 -   	 -   	 -   	 -   	 (33.0)	 30.0 
" 1,101 "	 11.0 	 -   	 193.0 	 15.0 	 -   	 -   	 -   	 -   	 (12.0)	 2.0 	 (45.0)	 (3.0)
" 1,102 "	 31.0 	 -   	 201.0 	 (1.0)	 3.0 	 3.0 	 3.0 	 3.0 	 58.0 	 1.0 	 102.0 	 -   
" 1,103 "	 31.0 	 -   	 105.0 	 (12.0)	 -   	 -   	 -   	 -   	 (14.0)	 -   	 17.0 	 -   
" 1,104 "	 32.0 	 -   	 182.0 	 2.0 	 -   	 -   	 -   	 -   	 44.0 	 2.0 	" 8,053.0 "	 (1.0)
" 1,105 "	 31.0 	 -   	 173.0 	 2.0 	 1.0 	 (1.0)	 3.0 	 -   	 3.0 	 2.0 	" (1,483.0)"	 -   
" 1,106 "	 32.0 	 -   	 55.0 	 7.0 	 -   	 -   	 -   	 -   	 7.0 	 -   	 -   	 (58.0)
" 1,107 "	 14.0 	 1.0 	 51.0 	 10.0 	 -   	 -   	 -   	 -   	 -   	 -   	 (246.0)	 31.0 
" 1,108 "	 32.0 	 -   	 -   	 (22.0)	 -   	 -   	 -   	 -   	 (6.0)	 -   	 2.0 	 (107.0)
" 1,109 "	 32.0 	 -   	 55.0 	 (28.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 (57.0)	 10.0 
" 1,110 "	 30.0 	 -   	 8.0 	 (3.0)	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 1,111 "	 32.0 	 -   	 130.0 	 1.0 	 -   	 (1.0)	 -   	 (4.0)	 (5.0)	 -   	 (439.0)	 (7.0)
" 1,112 "	 26.0 	 -   	 50.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 (1.0)	 31.0 
" 1,113 "	 31.0 	 -   	 105.0 	 (5.0)	 -   	 -   	 -   	 -   	 5.0 	 -   	 64.0 	 9.0 
" 1,114 "	 32.0 	 -   	 115.0 	 9.0 	 2.0 	 1.0 	 3.0 	 -   	 28.0 	 -   	 (9.0)	 (1.0)
" 1,115 "	 31.0 	 -   	 177.0 	 6.0 	 2.0 	 2.0 	 3.0 	 3.0 	 14.0 	 1.0 	 59.0 	 (13.0)
" 1,116 "	 31.0 	 -   	 186.0 	 (1.0)	 -   	 (2.0)	 -   	 (3.0)	 19.0 	 (3.0)	 (883.0)	 -   
" 1,117 "	 12.0 	 -   	 75.0 	 28.0 	 -   	 (1.0)	 -   	 (3.0)	 (7.0)	 -   	 -   	 (1.0)
" 1,118 "	 32.0 	 -   	 36.0 	 (15.0)	 -   	 -   	 -   	 -   	 4.0 	 -   	 698.0 	 (4.0)
" 1,119 "	 30.0 	 -   	 159.0 	 20.0 	 1.0 	 (4.0)	 3.0 	 -   	 (30.0)	 1.0 	 (992.0)	 -   
" 1,120 "	 32.0 	 -   	 111.0 	 (14.0)	 -   	 -   	 -   	 -   	 3.0 	 1.0 	 32.0 	 (20.0)
" 1,121 "	 32.0 	 -   	 117.0 	 (37.0)	 -   	 -   	 -   	 -   	 (3.0)	 (1.0)	 660.0 	 1.0 
" 1,122 "	 32.0 	 -   	 92.0 	 14.0 	 1.0 	 1.0 	 3.0 	 3.0 	 15.0 	 (1.0)	 (3.0)	 12.0 
" 1,123 "	 18.0 	 -   	 84.0 	 (2.0)	 -   	 -   	 -   	 -   	 23.0 	 -   	 -   	 -   
" 1,124 "	 31.0 	 -   	 75.0 	 2.0 	 -   	 -   	 -   	 -   	 9.0 	 -   	 (12.0)	 (3.0)
" 1,125 "	 32.0 	 -   	 119.0 	 -   	 -   	 -   	 -   	 -   	 (12.0)	 -   	 (101.0)	 (1.0)
" 1,126 "	 28.0 	 -   	 84.0 	 (9.0)	 -   	 -   	 -   	 -   	 (79.0)	 -   	 27.0 	 -   
" 1,127 "	 32.0 	 -   	 115.0 	 (11.0)	 -   	 -   	 -   	 -   	 (6.0)	 (1.0)	 349.0 	 (64.0)
" 1,128 "	 32.0 	 -   	 36.0 	 (1.0)	 -   	 -   	 -   	 -   	 1.0 	 -   	 (613.0)	 (1.0)
" 1,129 "	 31.0 	 -   	 144.0 	 17.0 	 -   	 -   	 -   	 -   	 19.0 	 (3.0)	 (86.0)	 -   
" 1,130 "	 31.0 	 -   	 80.0 	 8.0 	 1.0 	 1.0 	 3.0 	 3.0 	 -   	 -   	 265.0 	 (21.0)
" 1,131 "	 31.0 	 -   	 298.0 	 (12.0)	 11.0 	 7.0 	 3.0 	 -   	 106.0 	 (49.0)	 858.0 	 -   
" 1,132 "	 32.0 	 -   	 122.0 	 -   	 -   	 -   	 -   	 -   	 (10.0)	 -   	 (476.0)	 1.0 
" 1,133 "	 32.0 	 -   	 166.0 	 (2.0)	 1.0 	 (3.0)	 3.0 	 -   	 14.0 	 (1.0)	 (792.0)	 -   
" 1,134 "	 32.0 	 -   	 120.0 	 23.0 	 -   	 -   	 -   	 -   	 3.0 	 -   	" (2,197.0)"	 (8.0)
" 1,135 "	 32.0 	 -   	 149.0 	 (11.0)	 -   	 (1.0)	 -   	 (3.0)	 (11.0)	 -   	 211.0 	 4.0 
" 1,136 "	 31.0 	 -   	 235.0 	 62.0 	 1.0 	 1.0 	 3.0 	 3.0 	 48.0 	 1.0 	 197.0 	 1.0 
" 1,137 "	 31.0 	 -   	 172.0 	 (6.0)	 -   	 -   	 -   	 -   	 25.0 	 3.0 	" 1,846.0 "	 (1.0)
" 1,138 "	 6.0 	 -   	 69.0 	 (18.0)	 -   	 (1.0)	 -   	 (3.0)	 44.0 	 (2.0)	 -   	 2.0 
" 1,139 "	 32.0 	 -   	 91.0 	 (36.0)	 1.0 	 1.0 	 3.0 	 3.0 	 (3.0)	 (1.0)	 (80.0)	 -   
" 1,140 "	 31.0 	 -   	 43.0 	 (11.0)	 -   	 -   	 -   	 -   	 4.0 	 -   	 11.0 	 3.0 
" 1,141 "	 30.0 	 -   	 3.0 	 (73.0)	 -   	 (1.0)	 -   	 (3.0)	 (14.0)	 (2.0)	 (10.0)	 (5.0)
" 1,142 "	 28.0 	 -   	 115.0 	 -   	 -   	 -   	 -   	 -   	 14.0 	 -   	 (2.0)	 (1.0)
" 1,143 "	 32.0 	 -   	 -   	 (17.0)	 -   	 -   	 -   	 -   	 -   	 -   	 20.0 	 31.0 
" 1,144 "	 32.0 	 -   	 36.0 	 (2.0)	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 9.0 
" 1,145 "	 32.0 	 -   	 183.0 	 (19.0)	 1.0 	 1.0 	 3.0 	 3.0 	 10.0 	 1.0 	 (199.0)	 -   
" 1,146 "	 32.0 	 -   	 165.0 	 42.0 	 2.0 	 -   	 2.5 	 (0.5)	 49.0 	 2.0 	 124.0 	 -   
" 1,147 "	 23.0 	 -   	 54.0 	 25.0 	 -   	 -   	 -   	 -   	 14.0 	 -   	 2.0 	 5.0 
" 1,148 "	 19.0 	 -   	 93.0 	 (33.0)	 -   	 -   	 -   	 -   	 21.0 	 (2.0)	 3.0 	 -   
" 1,149 "	 22.0 	 -   	 62.0 	 25.0 	 -   	 -   	 -   	 -   	 15.0 	 -   	 18.0 	 5.0 
" 1,150 "	 23.0 	 -   	 142.0 	 3.0 	 -   	 -   	 -   	 -   	 41.0 	 5.0 	 444.0 	 (2.0)
" 1,151 "	 22.0 	 -   	 3.0 	 (26.0)	 -   	 -   	 -   	 -   	 (1.0)	 -   	 11.0 	 27.0 
" 1,152 "	 16.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 12.0 	 31.0 
" 1,153 "	 15.0 	 -   	 103.0 	 (2.0)	 4.0 	 4.0 	 3.0 	 3.0 	 78.0 	 (2.0)	 (3.0)	 2.0 
" 1,154 "	 23.0 	 -   	 163.0 	 48.0 	 -   	 -   	 -   	 -   	 72.0 	 3.0 	 151.0 	 -   
" 1,155 "	 23.0 	 -   	 41.0 	 (33.0)	 -   	 -   	 -   	 -   	 -   	 -   	 279.0 	 31.0 
" 1,156 "	 23.0 	 -   	 140.0 	 (2.0)	 -   	 -   	 -   	 -   	 3.0 	 (2.0)	 115.0 	 (2.0)
" 1,157 "	 23.0 	 -   	 143.0 	 66.0 	 -   	 (2.0)	 -   	 (3.0)	 22.0 	 1.0 	 (44.0)	 3.0 
" 1,158 "	 22.0 	 -   	 39.0 	 (39.0)	 -   	 -   	 -   	 -   	 (2.0)	 -   	 (100.0)	 9.0 
" 1,159 "	 23.0 	 -   	 136.0 	 21.0 	 2.0 	 2.0 	 3.0 	 3.0 	 (13.0)	 -   	 716.0 	 (7.0)
" 1,160 "	 22.0 	 -   	 157.0 	 (6.0)	 -   	 -   	 -   	 -   	 24.0 	 (2.0)	 (18.0)	 (1.0)
" 1,161 "	 22.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 31.0 
" 1,162 "	 21.0 	 -   	 159.0 	 45.0 	 -   	 -   	 -   	 -   	 8.0 	 1.0 	 (170.0)	 31.0 
" 1,163 "	 22.0 	 -   	 162.0 	 (8.0)	 -   	 -   	 -   	 -   	 (14.0)	 -   	 532.0 	 (2.0)
" 1,164 "	 22.0 	 -   	 155.0 	 63.0 	 1.0 	 1.0 	 3.0 	 3.0 	 18.0 	 2.0 	 (67.0)	 20.0 
" 1,165 "	 22.0 	 -   	 27.0 	 (11.0)	 -   	 -   	 -   	 -   	 -   	 -   	 4.0 	 31.0 
" 1,166 "	 22.0 	 -   	 175.0 	 (1.0)	 -   	 -   	 -   	 -   	 20.0 	 -   	 (136.0)	 -   
" 1,167 "	 19.0 	 -   	 129.0 	 21.0 	 1.0 	 -   	 3.0 	 1.0 	 118.0 	 2.0 	 (89.0)	 -   
" 1,168 "	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   
" 1,169 "	 23.0 	 -   	 92.0 	 (3.0)	 -   	 -   	 -   	 -   	 (3.0)	 (3.0)	 -   	 3.0 
" 1,170 "	 22.0 	 -   	 90.0 	 (26.0)	 -   	 -   	 -   	 -   	 -   	 -   	 (838.0)	 31.0 
" 1,171 "	 20.0 	 -   	 31.0 	 10.0 	 -   	 -   	 -   	 -   	 2.0 	 -   	 6.0 	 31.0 
" 1,172 "	 21.0 	 -   	 115.0 	 -   	 -   	 -   	 -   	 -   	 3.0 	 -   	 -   	 -   
" 1,173 "	 22.0 	 -   	 111.0 	 13.0 	 -   	 -   	 -   	 -   	 41.0 	 -   	 (9.0)	 1.0 
" 1,174 "	 22.0 	 -   	 154.0 	 27.0 	 -   	 -   	 -   	 -   	 18.0 	 4.0 	 (296.0)	 (1.0)
" 1,175 "	 22.0 	 -   	 165.0 	 (26.0)	 -   	 -   	 -   	 -   	 1.0 	 (1.0)	 (645.0)	 3.0 
" 1,176 "	 22.0 	 -   	 167.0 	 4.0 	 -   	 -   	 -   	 -   	 48.0 	 3.0 	 (138.0)	 -   
" 1,177 "	 21.0 	 -   	 70.0 	 25.0 	 -   	 -   	 -   	 -   	 4.0 	 -   	 -   	 31.0 
" 1,178 "	 19.0 	 -   	 98.0 	 26.0 	 -   	 -   	 -   	 -   	 8.0 	 -   	 (899.0)	 30.0 
" 1,179 "	 23.0 	 -   	 82.0 	 (32.0)	 -   	 -   	 -   	 -   	 (12.0)	 -   	 54.0 	 2.0 
" 1,180 "	 23.0 	 -   	 144.0 	 25.0 	 2.0 	 1.0 	 3.0 	 -   	 14.0 	 -   	 (583.0)	 (14.0)
" 1,181 "	 23.0 	 -   	 -   	 (64.0)	 -   	 -   	 -   	 -   	 (2.0)	 -   	 -   	 (115.0)
" 1,182 "	 22.0 	 -   	 182.0 	 5.0 	 4.0 	 (1.0)	 3.0 	 -   	 79.0 	 4.0 	 131.0 	 -   
" 1,183 "	 23.0 	 -   	 123.0 	 7.0 	 2.0 	 (1.0)	 3.0 	 -   	 11.0 	 7.0 	 (35.0)	 (10.0)
" 1,184 "	 23.0 	 -   	 244.0 	 9.0 	 2.0 	 -   	 2.5 	 -   	 19.0 	 5.0 	 373.0 	 -   
